,season,team,strength,TOI,goals,goals_against
0,2020,San Jose Sharks,"(5, 5)",165374,116,151
1,2020,San Jose Sharks,"(5, 4)",15211,22,4
2,2020,San Jose Sharks,"(4, 5)",17903,5,32
3,2020,San Jose Sharks,"(4, 4)",2685,2,3
4,2020,San Jose Sharks,"(3, 3)",2505,1,3
5,2020,San Jose Sharks,"(4, 3)",396,0,0
6,2020,San Jose Sharks,"(3, 4)",207,0,1
7,2020,San Jose Sharks,"(5, 3)",77,0,0
8,2020,San Jose Sharks,"(3, 5)",199,0,2
9,2020,Nashville Predators,"(5, 5)",187265,122,123
10,2020,Nashville Predators,"(5, 4)",17962,29,2
11,2020,Nashville Predators,"(4, 5)",18577,5,43
12,2020,Nashville Predators,"(4, 4)",3309,1,4
13,2020,Nashville Predators,"(3, 3)",2653,4,2
14,2020,Nashville Predators,"(4, 3)",132,0,0
15,2020,Nashville Predators,"(3, 4)",8,0,0
16,2020,Nashville Predators,"(5, 3)",300,2,0
17,2020,Nashville Predators,"(3, 5)",254,0,2
18,2020,Tampa Bay Lightning,"(5, 5)",229256,177,146
19,2020,Tampa Bay Lightning,"(5, 4)",22792,61,3
20,2020,Tampa Bay Lightning,"(4, 5)",23278,4,38
21,2020,Tampa Bay Lightning,"(4, 4)",5010,4,0
22,2020,Tampa Bay Lightning,"(3, 3)",1642,6,1
23,2020,Tampa Bay Lightning,"(4, 3)",219,0,0
24,2020,Tampa Bay Lightning,"(3, 4)",403,0,0
25,2020,Tampa Bay Lightning,"(5, 3)",378,1,0
26,2020,Tampa Bay Lightning,"(3, 5)",598,0,1
27,2020,Vegas Golden Knights,"(5, 5)",227733,194,135
28,2020,Vegas Golden Knights,"(5, 4)",21347,32,2
29,2020,Vegas Golden Knights,"(4, 5)",18524,5,27
30,2020,Vegas Golden Knights,"(4, 4)",2885,2,2
31,2020,Vegas Golden Knights,"(3, 3)",1857,7,0
32,2020,Vegas Golden Knights,"(4, 3)",446,2,0
33,2020,Vegas Golden Knights,"(3, 4)",166,0,1
34,2020,Vegas Golden Knights,"(5, 3)",338,1,0
35,2020,Vegas Golden Knights,"(3, 5)",199,0,1
36,2020,Boston Bruins,"(5, 5)",199441,135,119
37,2020,Boston Bruins,"(5, 4)",18825,43,6
38,2020,Boston Bruins,"(4, 5)",21316,9,31
39,2020,Boston Bruins,"(4, 4)",3874,2,2
40,2020,Boston Bruins,"(3, 3)",2778,3,5
41,2020,Boston Bruins,"(4, 3)",100,1,0
42,2020,Boston Bruins,"(3, 4)",383,0,1
43,2020,Boston Bruins,"(5, 3)",230,3,0
44,2020,Boston Bruins,"(3, 5)",251,0,2
45,2020,Columbus Blue Jackets,"(5, 5)",174834,107,145
46,2020,Columbus Blue Jackets,"(5, 4)",11701,18,2
47,2020,Columbus Blue Jackets,"(4, 5)",13439,5,26
48,2020,Columbus Blue Jackets,"(4, 4)",1423,0,0
49,2020,Columbus Blue Jackets,"(3, 3)",3257,3,9
50,2020,Columbus Blue Jackets,"(4, 3)",157,0,0
51,2020,Columbus Blue Jackets,"(3, 4)",120,0,0
52,2020,Columbus Blue Jackets,"(5, 3)",102,0,0
53,2020,Columbus Blue Jackets,"(3, 5)",156,0,2
54,2020,Toronto Maple Leafs,"(5, 5)",191750,158,113
55,2020,Toronto Maple Leafs,"(5, 4)",17109,31,8
56,2020,Toronto Maple Leafs,"(4, 5)",16344,3,29
57,2020,Toronto Maple Leafs,"(4, 4)",1778,4,0
58,2020,Toronto Maple Leafs,"(3, 3)",1374,5,7
59,2020,Toronto Maple Leafs,"(4, 3)",188,0,0
60,2020,Toronto Maple Leafs,"(3, 4)",21,0,1
61,2020,Toronto Maple Leafs,"(5, 3)",520,3,0
62,2020,Toronto Maple Leafs,"(3, 5)",260,0,4
63,2020,Chicago Blackhawks,"(5, 5)",167006,110,133
64,2020,Chicago Blackhawks,"(5, 4)",17312,36,6
65,2020,Chicago Blackhawks,"(4, 5)",14860,3,34
66,2020,Chicago Blackhawks,"(4, 4)",1768,1,5
67,2020,Chicago Blackhawks,"(3, 3)",2934,7,4
68,2020,Chicago Blackhawks,"(4, 3)",219,0,0
69,2020,Chicago Blackhawks,"(3, 4)",153,0,0
