,season,team,strength,TOI,goals,goals_against
0,2016,Pittsburgh Penguins,"(5, 5)",72987,53,45
1,2016,Pittsburgh Penguins,"(5, 4)",7344,15,0
2,2016,Pittsburgh Penguins,"(4, 5)",6876,2,10
3,2016,Pittsburgh Penguins,"(4, 4)",1532,3,0
4,2016,Pittsburgh Penguins,"(3, 3)",0,0,0
5,2016,Pittsburgh Penguins,"(4, 3)",0,0,0
6,2016,Pittsburgh Penguins,"(3, 4)",62,0,0
7,2016,Pittsburgh Penguins,"(5, 3)",224,1,0
8,2016,Pittsburgh Penguins,"(3, 5)",166,0,2
9,2016,Seattle Kraken,"(5, 5)",0,0,0
10,2016,Seattle Kraken,"(5, 4)",0,0,0
11,2016,Seattle Kraken,"(4, 5)",0,0,0
12,2016,Seattle Kraken,"(4, 4)",0,0,0
13,2016,Seattle Kraken,"(3, 3)",0,0,0
14,2016,Seattle Kraken,"(4, 3)",0,0,0
15,2016,Seattle Kraken,"(3, 4)",0,0,0
16,2016,Seattle Kraken,"(5, 3)",0,0,0
17,2016,Seattle Kraken,"(3, 5)",0,0,0
18,2016,Montréal Canadiens,"(5, 5)",19695,8,12
19,2016,Montréal Canadiens,"(5, 4)",2182,3,1
20,2016,Montréal Canadiens,"(4, 5)",1464,0,1
21,2016,Montréal Canadiens,"(4, 4)",165,0,0
22,2016,Montréal Canadiens,"(3, 3)",0,0,0
23,2016,Montréal Canadiens,"(4, 3)",0,0,0
24,2016,Montréal Canadiens,"(3, 4)",8,0,0
25,2016,Montréal Canadiens,"(5, 3)",4,0,0
26,2016,Montréal Canadiens,"(3, 5)",58,0,0
27,2016,New York Rangers,"(5, 5)",38558,28,23
28,2016,New York Rangers,"(5, 4)",3598,3,0
29,2016,New York Rangers,"(4, 5)",3947,3,4
30,2016,New York Rangers,"(4, 4)",742,0,2
31,2016,New York Rangers,"(3, 3)",0,0,0
32,2016,New York Rangers,"(4, 3)",8,0,0
33,2016,New York Rangers,"(3, 4)",0,0,0
34,2016,New York Rangers,"(5, 3)",81,0,0
35,2016,New York Rangers,"(3, 5)",4,0,0
36,2016,Chicago Blackhawks,"(5, 5)",13384,1,12
37,2016,Chicago Blackhawks,"(5, 4)",907,2,0
38,2016,Chicago Blackhawks,"(4, 5)",873,0,1
39,2016,Chicago Blackhawks,"(4, 4)",240,0,0
40,2016,Chicago Blackhawks,"(3, 3)",0,0,0
41,2016,Chicago Blackhawks,"(4, 3)",0,0,0
42,2016,Chicago Blackhawks,"(3, 4)",0,0,0
43,2016,Chicago Blackhawks,"(5, 3)",0,0,0
44,2016,Chicago Blackhawks,"(3, 5)",0,0,0
45,2016,Vancouver Canucks,"(5, 5)",0,0,0
46,2016,Vancouver Canucks,"(5, 4)",0,0,0
47,2016,Vancouver Canucks,"(4, 5)",0,0,0
48,2016,Vancouver Canucks,"(4, 4)",0,0,0
49,2016,Vancouver Canucks,"(3, 3)",0,0,0
50,2016,Vancouver Canucks,"(4, 3)",0,0,0
51,2016,Vancouver Canucks,"(3, 4)",0,0,0
52,2016,Vancouver Canucks,"(5, 3)",0,0,0
53,2016,Vancouver Canucks,"(3, 5)",0,0,0
54,2016,Toronto Maple Leafs,"(5, 5)",20472,12,12
55,2016,Toronto Maple Leafs,"(5, 4)",1665,3,0
56,2016,Toronto Maple Leafs,"(4, 5)",1219,0,5
57,2016,Toronto Maple Leafs,"(4, 4)",698,0,1
58,2016,Toronto Maple Leafs,"(3, 3)",0,0,0
59,2016,Toronto Maple Leafs,"(4, 3)",0,0,0
60,2016,Toronto Maple Leafs,"(3, 4)",0,0,0
61,2016,Toronto Maple Leafs,"(5, 3)",116,0,0
62,2016,Toronto Maple Leafs,"(3, 5)",210,0,0
63,2016,Tampa Bay Lightning,"(5, 5)",0,0,0
64,2016,Tampa Bay Lightning,"(5, 4)",0,0,0
65,2016,Tampa Bay Lightning,"(4, 5)",0,0,0
66,2016,Tampa Bay Lightning,"(4, 4)",0,0,0
